ticker,age_years,last_close,score_total,score_long_coil,score_tight_resistance,score_ascending_compression,pos_in_10y_range,dist_to_10y_high_pct,range_ratio_24_120,range_ratio_24_60,low_36m_above_10y_low_pct,slope_high_60m,slope_low_60m,trend_r2_60m,peak_age_months,old_peak_similarity,lifecycle,status,grade,lid_grade,coil_score,lid_slope_pct_per_year,proximity_pct,span_years,touches,touch_count,reviewed,review_status,review_id,review_as_of,review_algorithm_version,review_stale,review_effective,data_date,freshness,fetched_at,data_source
7203.T,27.25,2839.0,0.22203688954097037,0.4559081635686583,0.0,0.2448523986533623,0.5998759271544478,0.29025,0.62620623631384,0.8126118067978533,0.9874362267649378,0.049231203807071515,0.05397047973067246,0.5347273942449506,28.0,0.97275,forming,basing,,A,46.3,1.41,70.56,1.92,2.0,2.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:09:15.619Z,yfinance
DTE.DE,29.75,26.739999771118164,0.260464915169853,0.5700389028146107,0.09578745689330094,0.332879838644746,0.640448550010429,0.25536062699133627,0.48776665132800573,0.5801698004667053,0.778012739241104,0.0541312356061748,0.05540717902924401,0.7599785695330542,316.0,2.921191923464701,forming,basing,,B,44.8,5.82,68.68,7.83,2.0,2.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:09:04.407Z,yfinance
GIVN.SW,26.75,3420.0,0.1851002456290421,0.4000779727095517,0.0,0.14122951100636288,0.5409680480860487,0.2978854444672552,0.6719392597279342,0.9214750542299349,0.5005847953216375,-0.013052458679236456,-0.00917255576529839,0.037028482856519496,54.0,1.0,forming,basing,,B,44.1,-1.49,74.91,2.67,2.0,2.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:10:22.534Z,yfinance
ADYEN.AS,8.1667,843.7000122070312,,,,,,,,,,,,,,,forming,basing,,A,43.3,-0.51,45.46,2.5,2.0,2.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:09:11.394Z,yfinance
SIE.DE,29.75,272.1000061035156,0.37872676139405054,0.570235166256402,0.4213035827865914,0.4826207721733938,0.9458284534981662,0.04408919045166981,0.5782764310770122,0.7014870887934826,1.255242521099044,0.05357028616117683,0.049972470940179634,0.8338887523237567,0.0,0.6635517615767119,forming,basing,,C,43.3,9.59,96.09,4.5,3.0,3.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:09:02.331Z,yfinance
WEGE3.SA,26.583333333333332,44.38999938964844,0.048027244772149535,0.31701818923431213,0.0,0.18832606774149258,0.7419354509631297,0.25806454903687026,1.0,1.0,,0.04394066336726363,0.02427812335567257,0.46292041952091867,24.0,0.850409485391425,forming,basing,,B,40.3,5.09,72.43,3.92,2.0,2.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:09:29.350Z,yfinance
INFY.NS,30.583333333333332,1098.9000244140625,0.2572593444345293,0.49588999605670186,0.0,0.23561338404739424,0.4243078087679389,0.45231625450101776,0.6495924123671489,1.0,1.2846512195675872,0.0017263939143126927,0.0028159267880696437,0.10383925169034758,54.0,0.9738095003430709,forming,basing,,A,40.2,0.89,54.0,2.92,2.0,2.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:09:23.793Z,yfinance
NPN.JO,26.583333333333332,84750.0,0.17511479639506128,0.38646910901645515,0.06310249806442537,0.2815512490322127,0.5661784825058566,0.3537638016226438,0.6056407670513954,0.6116565027098044,1.2092108234301375,0.04928425521907571,0.05607232710816295,0.7577498677448847,0.0,0.6229091447187824,forming,basing,,C,32.8,8.05,60.72,4.75,2.0,2.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:09:40.901Z,yfinance
TCS.NS,24.0,2196.0,0.16724023459838958,0.4318687899737039,0.0,0.13361187734519733,0.3280851394465813,0.5218030377266046,0.7333791087015529,1.0,0.9267996909304949,0.013966574718576317,-0.0035495533134883898,0.13049190963193324,24.0,0.964886493548914,forming,basing,,A,31.2,4.25,43.92,2.58,2.0,2.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:09:21.939Z,yfinance
035420.KS,23.833333333333332,184400.0,0.2984055103529125,0.48459071286008654,0.20374392943813924,0.13303539962211672,0.2227146814404432,0.6034408602150537,0.42354570637119116,0.503955174686882,0.4528846153846154,-0.041885262474356325,-0.03649641190975795,0.23664874708457628,60.0,1.0,forming,basing,,C,30.4,7.37,59.22,2.83,3.0,3.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:09:33.918Z,yfinance
