ticker,age_years,last_close,score_total,score_long_coil,score_tight_resistance,score_ascending_compression,pos_in_10y_range,dist_to_10y_high_pct,range_ratio_24_120,range_ratio_24_60,low_36m_above_10y_low_pct,slope_high_60m,slope_low_60m,trend_r2_60m,peak_age_months,old_peak_similarity
EFX,41.333333333333336,186.42999267578125,0.2448974538531074,0.4302413340075925,0.0,0.2912036810002816,0.44240774087089185,0.3978942940418823,0.6499660449651193,0.8775434926746162,0.803676098306314,0.014264906860768875,0.03701558096800445,0.0013239544014095328,52.0,0.9692535627002522
CHD,41.333333333333336,95.52999877929688,0.244316076030563,0.4798966333080972,0.020523248292079792,0.24934115238122825,0.7167794187629737,0.1797183622678418,0.47537210204950425,0.758747315911178,0.9109492294822669,0.04735471526723324,0.03261035401290122,0.16053421726639583,24.0,0.9282156905712514
PANW,13.833333333333334,161.58999633789062,0.24399304428316795,0.4483581947733759,0.22293795589963356,0.4402667903568636,0.6985295702639004,0.2773579182647247,0.4085064680048607,0.4946293157348422,3.9287112327529456,0.05602103654089547,0.055416361835980095,0.8344202796818156,26.0,0.8515719227636825
INTU,33.166666666666664,366.79998779296875,0.24162092808332392,0.4936626826419704,0.0,0.1954286107042088,0.3744838452258839,0.5492196358728294,0.6600742092489639,0.9942024711297706,2.446951993466625,0.034444995988291385,0.04408572214084176,0.18849573051493884,53.0,0.8809880479259111
CI,41.333333333333336,272.6000061035156,0.24043591384461366,0.49776952498334437,0.0,0.2555990096857969,0.615989111976611,0.26489222561727055,0.5133698136518805,0.733262638558365,1.0821524563029292,0.04967356367293144,0.04993193148372227,0.25980639377912884,25.0,0.9861931469876163
FFIV,26.916666666666668,295.19000244140625,0.2396171728310908,0.37112807183153673,0.07917902378019291,0.32278770380055266,0.8091428242595831,0.14684970392657154,0.6869506575172778,0.8352592255392618,0.6286035931790267,0.034952940319963315,0.03772897590819392,0.4312924581014389,0.0,0.7196531791907514
IFF,41.333333333333336,72.58999633789062,0.23813102444297002,0.44898500253357243,0.1653512709378689,0.11748125316696556,0.13688171891060377,0.5388183027146104,0.48473437732692276,0.48631811380557366,0.0,-0.05394635068103604,-0.04885428100014667,0.7115133600509739,99.0,1.0
SYF,11.833333333333334,75.55000305175781,0.23783880538878083,0.2848763201969562,0.09861847173514918,0.3574872488107845,0.8274602701031804,0.14892411953629575,0.6294048596566498,0.7755709423609517,1.188477447524756,0.039903152868829804,0.04100539574152083,0.508809158393323,0.0,0.5913034095238603
TFC,41.333333333333336,49.529998779296875,0.23719925536606762,0.420351690015797,0.1273005514217874,0.09801354544849293,0.5678682780014737,0.2816533579185373,0.5037828447347221,0.5217792280094976,0.06455640242752016,-0.04166430614954389,-0.0264410279578059,0.15172125259390634,51.0,1.0
J,46.166666666666664,125.41000366210938,0.23667807899470225,0.4321013842644378,0.017598956252411434,0.2930264013759749,0.6742700364226665,0.25546187458804714,0.4788812524971063,0.7896186868398298,1.4812202087627968,0.046676589890033114,0.05009993388331214,0.48776856710980254,0.0,0.7586958518632861
SATS,18.333333333333332,130.47000122070312,0.23664432303165617,0.31111111111111106,0.47533298643965255,0.25,0.9840521434692825,0.014800208136208465,0.960374286694831,0.960374286694831,0.0,0.03360039804082817,-0.03596480597348976,0.34981200786112054,0.0,0.38245336522973106
MCK,31.5,862.7899780273438,0.23600928468108517,0.5317416629488434,0.17809924182613956,0.4646770786860541,0.8474503891120237,0.13634636834099725,0.5987075529322623,0.6530577162604525,2.3205163915861675,0.05651059348962052,0.05687582742069764,0.9471180151419843,0.0,0.5453553529115053
ZTS,13.25,121.11000061035156,0.23450250935365816,0.44330046719712446,0.10388359945440087,0.08329225066307219,0.37173390749085417,0.5141412984533268,0.42668757572264565,0.6400941224207521,1.5019877201791425,-0.03572736805063559,-0.01797852543912115,0.44717139112310933,52.0,1.0
